lga_name, lga_code, lw_excse_2_asr
"Port Adelaide Enfield (C)",45890,70.1
"Port Augusta (C)",46090,69.6
"Port Lincoln (C)",46300,70.8
"Port Pirie City and Dists (M)",46450,72.0
"West Torrens (C)",48410,66.7
"Prospect (C)",46510,58.7
"Renmark Paringa (DC)",46670,78.3
"Robe (DC)",46860,78.7
"Roxby Downs (M)",46970,62.2
"Salisbury (C)",47140,73.0
"Southern Mallee (DC)",47290,80.8
"Streaky Bay (DC)",47490,null
"Tatiara (DC)",47630,78.7
"Tea Tree Gully (C)",47700,67.0
"Unley (C)",47980,60.2
"Victor Harbor (C)",48050,68.9
"Wakefield (DC)",48130,76.5
"Whyalla (C)",48540,70.3
"Broome (S)",50980,60.7
"Broomehill-Tambellup (S)",51080,79.0
"Bruce Rock (S)",51120,null
"Bunbury (C)",51190,65.5
"Walkerville (M)",48260,58.7
"Wattle Range (DC)",48340,75.8
"Wudinna (DC)",48640,null
"Yankalilla (DC)",48750,68.9
"Yorke Peninsula (DC)",48830,76.4
"Unincorporated SA",49399,null
"Albany (C)",50080,67.3
"Armadale (C)",50210,66.0
"Ashburton (S)",50250,null
"Augusta-Margaret River (S)",50280,63.8
"Busselton (S)",51260,63.0
"Cambridge (T)",51310,52.2
"Canning (C)",51330,62.5
"Capel (S)",51400,64.3
"Carnamah (S)",51470,null
"Carnarvon (S)",51540,69.3
"Chapman Valley (S)",51610,69.4
"Coolgardie (S)",51960,null
"Coorow (S)",52030,71.3
"Corrigin (S)",52100,75.5
"Dalwallinu (S)",52520,72.8
"Chittering (S)",51680,69.5
"Claremont (T)",51750,48.0
"Cockburn (C)",51820,65.6
"Collie (S)",51890,69.1
"Cunderdin (S)",52450,71.2
"Cottesloe (T)",52170,47.6
"Cranbrook (S)",52240,79.0
"Cuballing (S)",52310,null
"Cue (S)",52380,null
"Dandaragan (S)",52590,69.5
"Dardanup (S)",52660,68.4
"Denmark (S)",52730,69.4
"Derby-West Kimberley (S)",52800,null
"Donnybrook-Balingup (S)",52870,71.5
"East Fremantle (T)",53150,54.6
"East Pilbara (S)",53220,null
"Esperance (S)",53290,68.4
"Exmouth (S)",53360,null
"Fremantle (C)",53430,58.2
"Dowerin (S)",52940,null
"Dumbleyung (S)",53010,null
"Dundas (S)",53080,null
"Geraldton-Greenough (C)",53520,66.5
"Gingin (S)",53570,69.5
"Gnowangerup (S)",53640,79.0
"Goomalling (S)",53710,72.8
"Gosnells (C)",53780,66.8
"Halls Creek (S)",53920,null
"Harvey (S)",53990,67.2
"Irwin (S)",54060,71.3
"Jerramungup (S)",54130,79.0
"Joondalup (C)",54170,59.7
"Kalamunda (S)",54200,62.0
"Kalgoorlie/Boulder (C)",54280,null
"Kellerberrin (S)",54410,71.2
"Kent (S)",54480,null
"Kojonup (S)",54550,79.0
"Kondinin (S)",54620,74.2
"Koorda (S)",54690,null
"Kulin (S)",54760,null
"Katanning (S)",54340,73.5
"Kwinana (T)",54830,64.9
"Lake Grace (S)",54900,74.2
"Laverton (S)",54970,null
"Glenorchy (C)",62610,67.7
"Leonora (S)",55040,null
"Mandurah (C)",55110,63.6
"Manjimup (S)",55180,70.4
"Meekatharra (S)",55250,null
"Melville (C)",55320,58.3
"Hobart (C)",62810,55.8
"Huon Valley (M)",63010,71.6
"Menzies (S)",55390,null
"Merredin (S)",55460,71.2
"Mingenew (S)",55530,null
"Kentish (M)",63210,72.3
"Moora (S)",55600,72.8
"King Island (M)",63410,null
"Kingborough (M)",63610,62.8
"Latrobe (M)",63810,69.0
"Launceston (C)",64010,67.8
"Morawa (S)",55670,null
"Mount Magnet (S)",55810,null
"Mount Marshall (S)",55880,null
"West Coast (M)",65610,74.4
"Mosman Park (T)",55740,47.6
"Narrogin (T)",56520,66.2
"Mukinbudin (S)",55950,null
"Mullewa (S)",56020,null
"Mundaring (S)",56090,61.3
"Nedlands (C)",56580,49.4
"Ngaanyatjarraku (S)",56620,null
"Meander Valley (M)",64210,72.4
"Murchison (S)",56160,null
"Murray (S)",56230,67.1
"Nannup (S)",56300,70.4
"Narembeen (S)",56370,null
"Narrogin (S)",56450,null
"Northampton (S)",56790,71.3
"Nungarin (S)",56860,null
"Northern Midlands (M)",64610,72.8
"Northam (S)",56730,68.5
"Peppermint Grove (S)",56930,47.6
"Perth (C)",57080,57.2
"Pingelly (S)",57140,75.5
"Plantagenet (S)",57210,69.4
"Port Hedland (T)",57280,61.5
"Quairading (S)",57350,71.2
"Ravensthorpe (S)",57420,null
"Rockingham (C)",57490,63.9
"Roebourne (S)",57560,59.2
"Perenjori (S)",57000,null
"Sandstone (S)",57630,null
"Serpentine-Jarrahdale (S)",57700,62.7
"Shark Bay (S)",57770,null
"South Perth (C)",57840,54.1
"Stirling (C)",57910,60.3
"Subiaco (C)",57980,54.2
"Swan (C)",58050,65.7
"Tammin (S)",58190,null
"Three Springs (S)",58260,null
"Toodyay (S)",58330,72.8
"Waroona (S)",58820,70.5
"West Arthur (S)",58890,null
"Sorell (M)",64810,68.8
"Southern Midlands (M)",65010,75.6
"Tasman (M)",65210,70.9
"Waratah/Wynyard (M)",65410,69.7
"Trayning (S)",58400,null
"Break O'Day (M)",60210,72.3
"Upper Gascoyne (S)",58470,null
"Victoria Park (T)",58510,59.9
"Brighton (M)",60410,71.1
"Burnie (C)",60610,69.9
"Victoria Plains (S)",58540,null
"Central Coast (M)",60810,71.4
"Central Highlands (M)",61010,75.6
"Circular Head (M)",61210,75.6
"Clarence (C)",61410,62.5
"Vincent (T)",58570,56.1
"Wagin (S)",58610,74.2
"Wandering (S)",58680,null
"Wanneroo (C)",58760,66.7
"Westonia (S)",59030,null
"Derwent Valley (M)",61510,70.4
"Devonport (C)",61610,69.5
"Wickepin (S)",59100,null
"Dorset (M)",61810,72.3
"Flinders (M)",62010,null
"George Town (M)",62210,72.3
"Williams (S)",59170,null
"Wiluna (S)",59250,null
"Glamorgan/Spring Bay (M)",62410,70.7
"Wongan-Ballidu (S)",59310,72.8
"Woodanilling (S)",59320,null
"Wyalkatchem (S)",59330,null
"Wyndham-East Kimberley (S)",59340,null
"Yalgoo (S)",59350,null
"Yilgarn (S)",59360,71.2
"York (S)",59370,68.5
"West Tamar (M)",65810,66.4
"Alice Springs (T)",70200,67.7
"Barkly (S)",70420,null
"Belyuen (S)",70540,null
"Central Desert (S)",70620,null
"Coomalie (S)",70700,null
"Darwin (C)",71000,63.7
"East Arnhem (S)",71300,null
"Katherine (T)",72200,69.0
"Litchfield (M)",72300,67.4
"MacDonnell (S)",72330,null
"Palmerston (C)",72800,69.9
"Roper Gulf (S)",73600,null
"Tiwi Islands (S)",74050,null
"Victoria-Daly (S)",74500,null
"Wagait (S)",74560,null
"West Arnhem (S)",74660,null
"Unincorporated NT",79399,null
"Unincorporated ACT",89399,59.9
